N° Documento	Clase	Fecha Contabilización	Dias	Cuenta	Usuario	Texto	Texto cabecera	Centro de costo	Referencia	Moneda doc.	Debe	Haber
1594057		31-01-2025		1101500002	9676	06-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	43			300.000	0
1768025		31-01-2025		1101500002	689	02-CON DOCUMENTO	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	42			210.000	0
1987345		31-01-2025		1101500002	9179	56-CURSA CANJE NO ENVIADO	INGRESOS VARIOS PESOS	14			618.754	0
1987504		31-01-2025		1101500002	9179	02-VALOR CHEQUES	RECEPCION DE VALORES EN CAJA PESOS	14			6.954.578	0
2034313		31-01-2025		1101500002	736	56-CURSA CANJE NO ENVIADO	INGRESOS VARIOS PESOS	27			1.200.000	0
2161103		31-01-2025		1101500002	1271	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	34			1.804.700	0
2289443		31-01-2025		1101500002	152	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	9			10.987.386	0
2402069		31-01-2025		1101500002	1251	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	29			4.247.276	0
2402097		31-01-2025		1101500002	1251	54-54-OP CANJE NO ENVIADO	EGRESOS VARIOS PESOS	29			0	-2.174.030
2532988		31-01-2025		1101500002	612	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	19			500.000	0
2588926		31-01-2025		1101500002	1643	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	21			19.400.000	0
2588938		31-01-2025		1101500002	1643	02-CON DOCUMENTO	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	21			10.000.000	0
2669286		31-01-2025		1101500002	4868	02-VALOR CHEQUES	DEPOSITO DE APERTURA DEPOSITOS A PLAZO PLAZO RENOVAB $7.35 PESOS	8			8.000.000	0
2891596		31-01-2025		1101500002	8374	02-VALOR CHEQUES	DEPOSITO DE APERTURA DEPOSITOS A PLAZO PLAZO RENOVAB $36.90 PESOS	17			3.000.000	0
2891878		31-01-2025		1101500002	8374	02-CON DOCUMENTO	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	17			154.700	0
2891882		31-01-2025		1101500002	8374	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	17			1.142.250	0
3260087		31-01-2025		1101500002	286	56-CURSA CANJE NO ENVIADO	INGRESOS VARIOS PESOS	12			18.000.000	0
3260401		31-01-2025		1101500002	286	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	12			1.272.269	0
3260406		31-01-2025		1101500002	286	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	12			9.235.200	0
3344520		31-01-2025		1101500002	197	56-CURSA CANJE NO ENVIADO	INGRESOS VARIOS PESOS	7			168.667	0
3344821		31-01-2025		1101500002	197	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	7			337.572	0
3344833		31-01-2025		1101500002	197	02-VALOR CHEQUES	RECEPCION DE VALORES EN CAJA PESOS	7			2.000.000	0
5273064		31-01-2025		1101500002	425	56-CURSA CANJE NO ENVIADO	INGRESOS VARIOS PESOS	2			745.514	0
7657157		31-01-2025		1101500002	2081	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	36			44.966	0
7657160		31-01-2025		1101500002	7123	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	36			932.322	0
7657189		31-01-2025		1101500002	7123	02-CON DOCUMENTO	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	36			445.088	0
7657223		31-01-2025		1101500002	7123	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	36			165.400	0
7657224		31-01-2025		1101500002	1687	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	36			28.714	0
7657277		31-01-2025		1101500002	1687	02-CON DOCUMENTO	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	36			2.817.726	0
7657289		31-01-2025		1101500002	2081	02-CON DOCUMENTO	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	36			1.186.000	0
7657407		31-01-2025		1101500002	1687	73-OP INGRESO CHQS	INGRESOS VARIOS PESOS	36			29.740.460	0
7657409		31-01-2025		1101500002	1687	02-VALOR CHEQUES	RECEPCION DE VALORES EN CAJA PESOS	36			905.699	0
7657411		31-01-2025		1101500002	1687	02-VALOR CHEQUES	RECEPCION DE VALORES EN CAJA PESOS	36			3.562.191	0
7657437		31-01-2025		1101500002	7123	01-VALOR MONEDA NACIONAL	VENTA CHEQUES MONEDA EXTRANJEA PESOS	36			277.425	0
Saldo Total											312.538.762	-763.667.822
Saldo Final												-451.129.060
