N° Documento	Clase	Fecha Contabilización	Dias	Cuenta	Usuario	Texto	Texto cabecera	Centro de costo	Referencia	Moneda doc.	Debe	Haber
3319301		02-01-2025		1101500002	197	02-VALOR CHEQUES	DEPOSITO DE APERTURA DEPOSITOS A PLAZO PLAZO RENOVAB $7.35 PESOS	7			4.000.000	0
3319713		02-01-2025		1101500002	197	01-VALE VISTA  PAGADO MISMA OFICINA	PAGO VALE VISTA CAMARA VALES VISTA VALES VISTA PESOS	7			0	-57.700.000
3319723		02-01-2025		1101500002	197	74-PAGO ALTO VALOR CAMARA	INGRESOS VARIOS PESOS	7			57.700.000	0
3319737		02-01-2025		1101500002	197	01-VALOR MONEDA NACIONAL	VENTA CHEQUES MONEDA EXTRANJEA PESOS	7			379.336	0
3436071		02-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	10			0	-23.060.000
3961794		02-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	20			0	-9.300.597
3961795		02-01-2025		1101500002	583	CANJE RECIBIDO	CANJE RECIBIDO	20			7.444.794	0
3962718		02-01-2025		1101500002	6628	02-VALOR CHEQUES	DEPOSITO DE APERTURA DEPOSITOS A PLAZO PLAZO RENOVAB $7.35 PESOS	20			16.000.000	0
3963331		02-01-2025		1101500002	6628	01-VALOR MONEDA NACIONAL	VENTA CHEQUES MONEDA EXTRANJEA PESOS	20			156.726	0
5237690		02-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	2			0	-101.320
5238665		02-01-2025		1101500002	425	02-VALOR CHEQUES	DEPOSITO DE APERTURA DEPOSITOS A PLAZO PLAZO RENOVAB $7.35 PESOS	2			64.000.000	0
5239305		02-01-2025		1101500002	425	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	2			1.000.000	0
5239330		02-01-2025		1101500002	125	02-CON DOCUMENTO	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	2			4.150.000	0
5239367		02-01-2025		1101500002	425	54-54-OP CANJE NO ENVIADO	EGRESOS VARIOS PESOS	2			0	-283.418
5239377		02-01-2025		1101500002	125	01-VALOR MONEDA NACIONAL	VENTA CHEQUES MONEDA EXTRANJEA PESOS	2			14.500.000	0
5239381		02-01-2025		1101500002	425	01-VALOR MONEDA NACIONAL	VENTA CHEQUES MONEDA EXTRANJEA PESOS	2			621.969	0
7577560		02-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	36			0	-161.102.258
7577561		02-01-2025		1101500002	583	CANJE RECIBIDO	CANJE RECIBIDO	36			18.277.856	0
7580050		02-01-2025		1101500002	2081	02-VALOR CHEQUES	DEPOSITO DE APERTURA DEPOSITOS A PLAZO PLAZO FIJO $ 7-35 PESOS	36			29.282.377	0
7580080		02-01-2025		1101500002	1687	02-VALOR CHEQUES	DEPOSITO DE APERTURA DEPOSITOS A PLAZO PLAZO RENOVAB $36.90 PESOS	36			17.463.625	0
7581534		02-01-2025		1101500002	1687	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	36			942.988	0
7581612		02-01-2025		1101500002	151	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	36			406.000	0
7581716		02-01-2025		1101500002	151	01-VALE VISTA  PAGADO MISMA OFICINA	PAGO VALE VISTA CAMARA VALES VISTA VALES VISTA PESOS	36			0	-169.091.648
7581722		02-01-2025		1101500002	2081	02-VALOR CHEQUES	DEPOSITO DE APERTURA DEPOSITOS A PLAZO PLAZO RENOVAB $7.35 PESOS	36			12.000.000	0
7581746		02-01-2025		1101500002	151	74-PAGO ALTO VALOR CAMARA	INGRESOS VARIOS PESOS	36			169.091.648	0
7581761		02-01-2025		1101500002	2081	54-54-OP CANJE NO ENVIADO	EGRESOS VARIOS PESOS	36			0	-338.700
7581788		02-01-2025		1101500002	1687	01-VALOR MONEDA NACIONAL	VENTA CHEQUES MONEDA EXTRANJEA PESOS	36			2.500.000	0
7581791		02-01-2025		1101500002	2081	01-VALOR MONEDA NACIONAL	VENTA CHEQUES MONEDA EXTRANJEA PESOS	36			338.700	0
597147		02-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	55			0	-2.505.727
597636		02-01-2025		1101500002	449	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	55			570.731	0
597651		02-01-2025		1101500002	233	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	55			1.557.040	0
597679		02-01-2025		1101500002	449	54-54-OP CANJE NO ENVIADO	EGRESOS VARIOS PESOS	55			0	-570.731
808543		02-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	58			0	-382.000
809035		02-01-2025		1101500002	152	56-CURSA CANJE NO ENVIADO	INGRESOS VARIOS PESOS	58			55.000	0
809322		02-01-2025		1101500002	152	02-CON DOCUMENTO	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	58			100.000	0
809343		02-01-2025		1101500002	152	54-54-OP CANJE NO ENVIADO	EGRESOS VARIOS PESOS	58			0	-229.042
809344		02-01-2025		1101500002	152	02-VALOR CHEQUES	RECEPCION DE VALORES EN CAJA PESOS	58			229.042	0
1582156		03-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	43			0	-500.000
1582355		03-01-2025		1101500002	249	02-CON DOCUMENTO	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	43			900.000	0
1582482		03-01-2025		1101500002	249	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	43			812.337	0
1582509		03-01-2025		1101500002	9676	01-VALOR MONEDA NACIONAL	VENTA CHEQUES MONEDA EXTRANJEA PESOS	43			169.615	0
1750644		03-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	42			0	-1.253.089
1974456		03-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	14			0	-663.806
2016486		03-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	27			0	-110.000
2143243		03-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	34			0	-16.095.060
2235273		03-01-2025		1101500002	955	56-CURSA CANJE NO ENVIADO	INGRESOS VARIOS PESOS	30			1.967.150	0
2235280		03-01-2025		1101500002	633	02-VALOR CHEQUES	DEPOSITO DE APERTURA DEPOSITOS A PLAZO PLAZO RENOVAB $7.35 PESOS	30			500.000	0
2235488		03-01-2025		1101500002	1184	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	30			5.521.203	0
2274385		03-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	9			0	-4.204.385
2274386		03-01-2025		1101500002	583	CANJE RECIBIDO	CANJE RECIBIDO	9			3.000.000	0
2384228		03-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	29			0	-24.554.599
2384229		03-01-2025		1101500002	583	CANJE RECIBIDO	CANJE RECIBIDO	29			4.126.432	0
2384601		03-01-2025		1101500002	1251	02-VALOR CHEQUES	DEPOSITO DE APERTURA DEPOSITOS A PLAZO PLAZO FIJO $ 7-35 PESOS	29			2.000.000	0
2384798		03-01-2025		1101500002	5165	01-VALE VISTA  PAGADO MISMA OFICINA	PAGO VALE VISTA CAMARA VALES VISTA VALES VISTA PESOS	29			0	-4.126.432
2143680		03-01-2025		1101500002	8631	02-VALOR CHEQUES	DEPOSITO DE APERTURA DEPOSITOS A PLAZO PLAZO RENOVAB $7.35 PESOS	34			73.131.140	0
2274845		03-01-2025		1101500002	4831	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	9			1.723.690	0
1974684		03-01-2025		1101500002	4169	56-CURSA CANJE NO ENVIADO	INGRESOS VARIOS PESOS	14			329.809	0
1974689		03-01-2025		1101500002	4169	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	14			26.045.260	0
1211853		03-01-2025		1101500002	5165	01-VALE VISTA  PAGADO MISMA OFICINA	PAGO VALE VISTA CAMARA VALES VISTA VALES VISTA PESOS	54			0	-3.700.000
2274846		03-01-2025		1101500002	5165	01-VALE VISTA  PAGADO MISMA OFICINA	PAGO VALE VISTA CAMARA VALES VISTA VALES VISTA PESOS	9			0	-3.000.000
2384807		03-01-2025		1101500002	1251	02-CON DOCUMENTO	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	29			17.241	0
2384821		03-01-2025		1101500002	1251	03-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	29			430.000	0
2384847		03-01-2025		1101500002	1251	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	29			1.928.777	0
2384861		03-01-2025		1101500002	1102	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	29			332.449	0
2384861		03-01-2025		1101500002	1102	03-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	29			3.320.300	0
2384875		03-01-2025		1101500002	1102	54-54-OP CANJE NO ENVIADO	EGRESOS VARIOS PESOS	29			0	-3.652.749
2510586		03-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	19			0	-354.034
2511315		03-01-2025		1101500002	612	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	19			2.996.760	0
2511348		03-01-2025		1101500002	612	54-54-OP CANJE NO ENVIADO	EGRESOS VARIOS PESOS	19			0	-2.996.760
2572483		03-01-2025		1101500002	583	CANJE RECIBIDO	CANJE RECIBIDO	21			3.953.149	0
2573003		03-01-2025		1101500002	5165	01-VALE VISTA  PAGADO MISMA OFICINA	PAGO VALE VISTA CAMARA VALES VISTA VALES VISTA PESOS	21			0	-3.953.149
2573023		03-01-2025		1101500002	3869	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE PERSONAS PESOS	21			5.045.364	0
2652810		03-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	8			0	-15.069.017
2652811		03-01-2025		1101500002	583	CANJE RECIBIDO	CANJE RECIBIDO	8			18.485.798	0
2653356		03-01-2025		1101500002	5165	01-VALE VISTA  PAGADO MISMA OFICINA	PAGO VALE VISTA CAMARA VALES VISTA VALES VISTA PESOS	8			0	-18.485.798
2653393		03-01-2025		1101500002	2499	73-OP INGRESO CHQS	INGRESOS VARIOS PESOS	8			13.633.490	0
2745041		03-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	11			0	-7.183.347
2745042		03-01-2025		1101500002	583	REG VV POR COBRAR	REG VV POR COBRAR	11			0	-81.000.000
2745588		03-01-2025		1101500002	6	02-CON DOCUMENTO	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	11			9.105.068	0
2862425		03-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	17			0	-11.429.943
2863208		03-01-2025		1101500002	8374	02-VALOR CHEQUES	DEPOSITO DE APERTURA DEPOSITOS A PLAZO PLAZO RENOVAB $7.35 PESOS	17			170.000.000	0
2863598		03-01-2025		1101500002	8374	02-VALOR CHEQUES	RECEPCION DE VALORES EN CAJA PESOS	17			1.644.350	0
2863600		03-01-2025		1101500002	8374	54-54-OP CANJE NO ENVIADO	EGRESOS VARIOS PESOS	17			0	-309.300
2863605		03-01-2025		1101500002	8374	01-VALOR MONEDA NACIONAL	VENTA CHEQUES MONEDA EXTRANJEA PESOS	17			309.300	0
597750		03-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	55			0	-1.557.040
598015		03-01-2025		1101500002	449	56-CURSA CANJE NO ENVIADO	INGRESOS VARIOS PESOS	55			570.731	0
598022		03-01-2025		1101500002	449	02-VALOR CHEQUES	DEPOSITO DE APERTURA DEPOSITOS A PLAZO PLAZO RENOVAB $7.35 PESOS	55			49.784.617	0
598135		03-01-2025		1101500002	449	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	55			80.000	0
598155		03-01-2025		1101500002	233	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	55			6.834.070	0
598176		03-01-2025		1101500002	449	54-54-OP CANJE NO ENVIADO	EGRESOS VARIOS PESOS	55			0	-6.914.070
809564		03-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	58			0	-155.000
809972		03-01-2025		1101500002	152	56-CURSA CANJE NO ENVIADO	INGRESOS VARIOS PESOS	58			229.042	0
810224		03-01-2025		1101500002	1763	02-CON DOCUMENTO	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	58			200.000	0
873558		03-01-2025		1101500002	1782	56-CURSA CANJE NO ENVIADO	INGRESOS VARIOS PESOS	57			242.959	0
1211246		03-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	54			0	-628.008
1211247		03-01-2025		1101500002	583	CANJE RECIBIDO	CANJE RECIBIDO	54			3.700.000	0
1211633		03-01-2025		1101500002	3050	56-CURSA CANJE NO ENVIADO	INGRESOS VARIOS PESOS	54			2.228.560	0
1211855		03-01-2025		1101500002	3050	03-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	54			163.739	0
1211855		03-01-2025		1101500002	3050	05-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	54			1.668.060	0
1211860		03-01-2025		1101500002	3050	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	54			450.000	0
3144195		03-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	15			0	-59.352.992
3145162		03-01-2025		1101500002	28	02-CON DOCUMENTO	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	15			597.000	0
3145199		03-01-2025		1101500002	28	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	15			3.086.199	0
3145205		03-01-2025		1101500002	28	73-OP INGRESO CHQS	INGRESOS VARIOS PESOS	15			18.000.000	0
3145207		03-01-2025		1101500002	28	02-VALOR CHEQUES	RECEPCION DE VALORES EN CAJA PESOS	15			531.292	0
3145208		03-01-2025		1101500002	28	54-54-OP CANJE NO ENVIADO	EGRESOS VARIOS PESOS	15			0	-531.292
3235546		03-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	12			0	-7.491.854
3235547		03-01-2025		1101500002	583	CANJE RECIBIDO	CANJE RECIBIDO	12			4.258.720	0
3236448		03-01-2025		1101500002	286	02-CON DOCUMENTO	DEPOSITO CUENTA CORRIENTE CTA CTE EMPRESAS PESOS	12			1.000.000	0
3236453		03-01-2025		1101500002	5165	01-VALE VISTA  PAGADO MISMA OFICINA	PAGO VALE VISTA CAMARA VALES VISTA VALES VISTA PESOS	12			0	-4.258.720
3236479		03-01-2025		1101500002	286	01-VALE VISTA  PAGADO MISMA OFICINA	PAGO VALE VISTA CAMARA VALES VISTA VALES VISTA PESOS	12			0	-27.595.739
3236504		03-01-2025		1101500002	286	02-VALOR CHEQUES	RECEPCION DE VALORES EN CAJA PESOS	12			168.026	0
3319980		03-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	7			0	-11.020.226
3320584		03-01-2025		1101500002	197	02-VALOR CHEQUES	DEPOSITO DE APERTURA DEPOSITOS A PLAZO PLAZO RENOVAB $7.35 PESOS	7			212.000.000	0
3320861		03-01-2025		1101500002	197	02-CON DOCUMENTO	DEPOSITO CUENTA VISTA CUENTA VISTA PERSONA PESOS	7			408.000	0
3437576		03-01-2025		1101500002	583	CANJE RECIBIDO	CANJE RECIBIDO	10			22.500.000	0
3438551		03-01-2025		1101500002	5165	01-VALE VISTA  PAGADO MISMA OFICINA	PAGO VALE VISTA CAMARA VALES VISTA VALES VISTA PESOS	10			0	-22.500.000
3438570		03-01-2025		1101500002	1244	54-54-OP CANJE NO ENVIADO	EGRESOS VARIOS PESOS	10			0	-301.965
3438574		03-01-2025		1101500002	1244	01-VALOR MONEDA NACIONAL	VENTA CHEQUES MONEDA EXTRANJEA PESOS	10			301.965	0
3963707		03-01-2025		1101500002	583	CANJE ENVIADO	CANJE ENVIADO	20			0	-16.156.726
3963708		03-01-2025		1101500002	583	CANJE RECIBIDO	CANJE RECIBIDO	20			22.103.330	0
3964388		03-01-2025		1101500002	6628	02-VALOR CHEQUES	DEPOSITO DE APERTURA DEPOSITOS A PLAZO PLAZO RENOVAB $7.35 PESOS	20			9.987.397	0
3964833		03-01-2025		1101500002	5165	01-VALE VISTA  PAGADO MISMA OFICINA	PAGO VALE VISTA CAMARA VALES VISTA VALES VISTA PESOS	20			0	-22.103.330
